,Title,Published_date,Views,Likes,Comments,Month
186,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,14393,511,89,Dec
187,Collision Course: Sports Betting + Data Science,2019-12-20,14192,433,26,Dec
188,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,99583,2913,206,Dec
189,5 Sports Analytics Books to Get You Started,2019-12-13,9353,348,55,Dec
190,Math Needed for Mastering Data Science,2019-12-09,54037,2767,225,Dec
191,The 5 Stages of Data Science Adoption,2019-12-06,1233,66,17,Dec
192,How YOU Can Land a Sports Analytics Job,2019-12-02,61990,2780,223,Dec
193,Data Science Fundamentals: Linear Regression,2019-11-29,5832,162,41,Nov
194,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,924,45,12,Nov
195,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5296,243,26,Nov
196,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,44543,1704,80,Nov
197,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5824,136,31,Nov
198,Why Selling Is An Important Data Science Skill,2019-11-04,1559,75,13,Nov
199,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2611,70,18,Oct
200,Why is Balance Important in Data Science?,2019-10-16,678,32,13,Oct
201,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11288,570,54,Sep
202,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3255,104,29,Sep
203,6 Habits of Successful Data Scientists,2019-09-13,2009,89,17,Sep
204,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3658,88,9,Sep
205,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,516,24,29,Aug
206,Is Data Science Right For You?,2019-08-18,48370,1126,109,Aug
207,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13527,375,53,Aug
208,How To Get Data Science Experience (Without a Job),2019-08-08,28062,1339,75,Aug
209,Take Your Data Science Projects From Good to Great,2019-08-05,1548,106,11,Aug
210,The Projects You Should Do To Get A Data Science Job,2019-07-30,143767,5542,252,Jul
211,What Does a Data Scientist Actually Do?,2019-07-19,33250,1130,79,Jul
212,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12091,338,42,Jul
213,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,16458,494,61,Jul
214,Data Science: Pros and Cons,2019-06-30,4863,207,18,Jun
215,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22833,1118,89,Jun
216,My Top 5 Data Science Internship Tips,2019-06-15,10904,456,19,Jun
217,Golf STATS: Strokes Gained Explained,2019-06-07,6257,133,28,Jun
218,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,592,44,5,May
219,What I Learned From My Three Degrees,2019-05-17,1199,59,12,May
